#PAPER 64 ant layout
#Positions in meters from center of array
antid East North Up
0 0.0 0.0 0.0
1 -119.961472778 15.9271955397 -0.14900182931
2 -149.971841219 3.92204815136 -0.0620007611893
3 -149.988841427 19.921244575 -0.266003265747
4 -89.9881047925 15.9121953555 -0.163002001191
5 -59.9747363155 11.9481466885 -0.136001669705
6 -89.9721045961 3.96004861789 -0.0450005524761
7 -30.0083684156 3.99604905987 0.0220002700994
8 -119.954472692 -4.04304963691 0.0280003437629
9 -179.982209659 15.9201954538 -0.19600240634
10 -179.989209745 19.9362447592 -0.226002774658
11 -89.9891048048 -4.04604967374 0.0390004788126
12 0.00900011049518 3.9950490476 -0.0280003437629
13 -29.9833681087 15.928195552 -0.100001227725
14 -29.9843681209 7.95709769005 -0.0350004297036
15 -119.983473049 -0.0540006629713 0.00200002455449
16 -89.9711045838 -0.0340004174264 -0.00800009821797
17 -59.9687362419 15.9561958957 -0.158001939805
18 -89.9661045224 11.928146443 -0.123001510101
19 -90.0091050504 23.9432939541 -0.252003093866
20 -179.991209769 7.94509754272 -0.114001399606
21 -149.96384112 -0.061000748912 -0.0300003683174
22 -180.010210002 11.9271464307 -0.132001620596
23 30.0173685261 12.0031473638 -0.0920011295066
24 -59.9577361068 19.9552449924 -0.195002394063
25 -119.981473024 19.8962442681 -0.179002197627
26 30.0363687594 -1.85246582966e-15 -0.00400004910898
27 0.0230002823766 19.993245459 -0.175002148518
28 -30.0083684156 23.9142935981 -0.195002394063
29 -60.0037366716 23.9842944575 -0.25400311842
30 0.0380004665353 12.0071474129 -0.108001325943
31 -179.977209597 -4.10005033671 0.0110001350497
32 -29.9653678877 11.9301464675 -0.0710008716845
33 -119.963472803 3.95204851968 -0.057000699803
34 0.0300003683174 23.9712942979 -0.227002786935
35 -119.977472975 11.9141462711 -0.128001571487
36 -59.936735849 -4.00404915809 0.00600007366347
37 -89.9921048416 7.97109786193 -0.100001227725
38 30.013368477 4.02904946502 -0.0350004297036
39 0.049000601585 -3.98804896166 0.0180002209904
40 -59.972736291 7.9720978742 -0.107001313665
41 -149.96384112 23.9272937577 -0.308003781392
42 -119.965472828 7.94109749361 -0.105001289111
43 -179.989209745 3.91304804086 -0.0870010681204
44 -30.0043683665 -0.00800009821797 0.0130001596042
45 -149.956841034 -4.0740500175 -0.00700008594072
46 30.0433688453 -3.9860489371 0.0190002332677
47 -119.979472999 23.9172936349 -0.245003007925
48 -90.0131050995 19.928244661 -0.202002480004
49 -179.971209524 23.8622929596 -0.314003855055
50 30.0543689803 7.98909808292 -0.0380004665353
51 29.9873681578 24.0192948872 -0.19600240634
52 -59.9737363033 3.99104899849 -0.0750009207934
53 -179.989209745 -0.0710008716845 -0.0350004297036
54 0.00100001227724 7.98309800925 -0.0860010558432
55 -29.9743679982 19.9412448206 -0.150001841587
56 -0.0180002209905 15.9651960062 -0.148001817032
57 30.0003683174 20.0212458027 -0.14900182931
58 -149.975841268 15.9271955397 -0.233002860598
59 30.0103684402 16.004196485 -0.135001657428
60 -29.9943682437 -4.00304914582 0.0370004542581
61 -149.977841292 11.9441466394 -0.181002222182
62 -59.9787363647 -0.00200002455449 -0.0340004174264
63 -149.977841292 7.9240972849 -0.122001497824
